has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,package_name,label
1,10,17332,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1580,1,loadcpu,malicious
1,10,17616,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1609,1,py-urlpep,malicious
1,10,18128,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1613,1,selfcandyrand,malicious
1,10,18256,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.218,1614,1,esqsplithttpmc,malicious
1,11,3037,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5.748,1990,5,roblox-python-wrapper,malicious
1,9,24775,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,6.042,23977,2,WeedyCoder,malicious
1,10,17873,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.218,1612,1,py-intelget,malicious
1,8,37301,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,4.946,35499,4,plutotestingagain,malicious
1,8,2021,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.814,1464,1,16cent,malicious
1,3,67251,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63517,2,cryptoocmpare,malicious
0,5,6674,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.606,5100,1,bip39-mnemonic-decrypt,malicious
