has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,package_name,label
1,7,3500,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.753,1705,1,coloramwa,malicious
1,10,17460,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1581,1,ramstudy,malicious
1,10,18596,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.205,1566,1,selfgamevirtualad,malicious
1,10,18648,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1618,1,libcontrolinfostr,malicious
1,7,3351,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.784,1882,1,webt3,malicious
1,10,9478633,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,4.187,9476847,4,pydefendermalware123,malicious
1,7,3633,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.737,1740,1,oillow,malicious
1,7,3789,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.817,1976,1,pytcrch,malicious
1,11,110919,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,4.76,105983,2,tablates,malicious
0,5,7994,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,4.614,6891,1,colorate-raimbow,malicious
1,10,18452,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.239,1676,1,libpushmasklgtb,malicious
1,3,67236,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63507,2,reqtrade,malicious
1,10,17940,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.233,1672,1,tppippushvm,malicious
1,3,1673,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.995,1443,2,pthttp,malicious
1,10,18468,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.205,1565,1,py-hydraurlstudy,malicious
1,47,422182,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,4.83,342610,33,rqrqrq,malicious
1,10,5238,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.056,3983,2,xolozamdgbxywf,malicious
1,7,2544,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.619,1377,1,pollow,malicious
1,7,3131,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.761,1794,1,requirmentstxtt,malicious
0,5,5965,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.566,5251,1,pythonpathenv,malicious
1,10,18084,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.204,1562,1,esqintmaskgui,malicious
1,10,18389,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1616,1,esqencodeadping,malicious
1,10,18896,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1619,1,libcontrolramhacked,malicious
1,8,1221,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.608,715,1,srv-configs,malicious
1,10,17716,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1583,1,proofultra,malicious
1,128,915311,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,4.699,721174,78,urllib,malicious
1,3,67245,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63513,2,discord-pyy,malicious
1,10,18065,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.233,1673,1,py-strramgui,malicious
1,10,17744,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1610,1,tppullkill,malicious
1,3,67248,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63515,2,scikit-leran,malicious
